Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
02/24/2025,2.449.282,"71.872.735,30",3.429.324,"87.117.359,34",-980.042,"-15.244.624,04"
02/21/2025,2.317.569,"56.099.363,80",2.188.241,"51.400.012,14",129.328,"4.699.351,66"
02/20/2025,1.828.298,"44.041.812,13",3.178.541,"90.561.296,24",-1.350.243,"-46.519.484,11"
02/19/2025,1.279.151,"34.919.004,10",3.990.408,"96.012.287,63",-2.711.257,"-61.093.283,53"
02/18/2025,1.761.180,"44.862.248,45",1.636.323,"41.416.778,45",124.857,"3.445.470,00"
02/17/2025,1.397.271,"25.475.331,70",2.619.867,"65.071.512,76",-1.222.596,"-39.596.181,06"
02/14/2025,1.995.650,"50.011.876,00",2.038.007,"53.506.960,15",-42.357,"-3.495.084,15"
02/13/2025,936.507,"27.079.213,30",755.035,"19.793.675,48",181.472,"7.285.537,82"
02/12/2025,1.933.134,"51.072.116,46",1.601.988,"33.847.427,21",331.146,"17.224.689,25"
02/11/2025,1.280.187,"32.410.157,06",1.352.363,"39.390.109,54",-72.176,"-6.979.952,48"
02/10/2025,2.305.872,"76.304.224,70",2.429.105,"79.779.312,40",-123.233,"-3.475.087,70"
02/07/2025,1.201.426,"31.563.127,45",1.216.895,"36.782.748,45",-15.469,"-5.219.621,00"
02/06/2025,1.205.446,"37.157.553,45",2.590.776,"97.482.202,48",-1.385.330,"-60.324.649,03"
02/05/2025,2.027.366,"51.981.177,15",1.462.879,"40.835.466,93",564.487,"11.145.710,22"
02/04/2025,1.280.514,"38.812.675,95",2.068.244,"45.070.797,20",-787.730,"-6.258.121,25"
02/03/2025,919.281,"26.900.302,05",2.376.561,"59.689.603,95",-1.457.280,"-32.789.301,90"
01/24/2025,711.529,"23.233.073,15",841.815,"23.597.008,88",-130.286,"-363.935,73"
01/23/2025,2.772.624,"68.589.952,10",1.690.253,"46.001.737,70",1.082.371,"22.588.214,40"
01/22/2025,1.281.132,"29.038.086,73",519.157,"17.287.068,97",761.975,"11.751.017,76"
01/21/2025,1.014.942,"21.328.039,14",1.394.606,"40.792.188,17",-379.664,"-19.464.149,03"
01/20/2025,836.368,"19.371.015,85",1.145.554,"27.564.469,42",-309.186,"-8.193.453,57"
01/17/2025,412.868,"16.886.298,05",775.252,"21.748.400,75",-362.384,"-4.862.102,70"
01/16/2025,828.011,"21.211.036,00",744.637,"16.771.936,65",83.374,"4.439.099,35"
01/15/2025,768.269,"35.578.925,45",853.425,"24.497.822,25",-85.156,"11.081.103,20"
01/14/2025,813.156,"20.200.138,20",382.521,"14.492.673,15",430.635,"5.707.465,05"
01/13/2025,657.956,"17.143.310,95",2.681.940,"66.937.828,70",-2.023.984,"-49.794.517,75"
01/10/2025,1.064.449,"27.284.282,08",377.908,"9.437.666,85",686.541,"17.846.615,23"
01/09/2025,717.685,"21.436.572,00",367.872,"13.795.608,05",349.813,"7.640.963,95"
01/08/2025,439.615,"14.350.368,10",784.479,"21.736.167,90",-344.864,"-7.385.799,80"
01/07/2025,621.400,"21.977.088,20",924.817,"30.174.541,22",-303.417,"-8.197.453,02"
01/06/2025,1.232.732,"25.342.881,92",658.308,"21.806.920,09",574.424,"3.535.961,83"
01/03/2025,1.136.057,"31.393.567,35",432.076,"17.384.574,60",703.981,"14.008.992,75"
01/02/2025,1.370.286,"34.195.347,79",723.208,"16.345.689,22",647.078,"17.849.658,57"
12/31/2024,719.077,"28.978.523,99",942.121,"25.128.831,90",-223.044,"3.849.692,09"
12/30/2024,968.013,"27.696.434,70",568.293,"17.125.850,00",399.720,"10.570.584,70"
12/27/2024,1.003.461,"29.575.412,85",1.248.503,"39.942.486,25",-245.042,"-10.367.073,40"
12/26/2024,962.644,"28.019.491,75",776.600,"22.453.268,85",186.044,"5.566.222,90"
12/25/2024,1.708.627,"49.166.698,45",907.829,"26.447.459,15",800.798,"22.719.239,30"
12/24/2024,602.507,"19.198.032,15",905.350,"27.186.185,35",-302.843,"-7.988.153,20"
12/23/2024,1.541.357,"45.786.835,05",764.613,"30.685.748,50",776.744,"15.101.086,55"
12/20/2024,599.900,"17.343.702,66",792.800,"25.778.355,55",-192.900,"-8.434.652,89"
12/19/2024,906.369,"25.356.257,66",2.557.154,"70.701.358,55",-1.650.785,"-45.345.100,89"
