Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
02/24/2025,2.449.282,"71.872.735,30",3.429.324,"87.117.359,34",0,"0,00",0,"0,00"
02/21/2025,2.317.569,"56.099.363,80",2.188.241,"51.400.012,14",0,"0,00",0,"0,00"
02/20/2025,1.728.298,"41.400.812,13",3.178.541,"90.561.296,24",100.000,"2.641.000,00",0,"0,00"
02/19/2025,1.279.151,"34.919.004,10",3.990.408,"96.012.287,63",0,"0,00",0,"0,00"
02/18/2025,1.713.154,"43.620.776,35",1.588.297,"40.175.306,35",48.026,"1.241.472,10",48.026,"1.241.472,10"
02/17/2025,1.397.271,"25.475.331,70",2.619.867,"65.071.512,76",0,"0,00",0,"0,00"
02/14/2025,1.995.650,"50.011.876,00",2.038.007,"53.506.960,15",0,"0,00",0,"0,00"
02/13/2025,906.507,"25.849.213,30",755.035,"19.793.675,48",30.000,"1.230.000,00",0,"0,00"
02/12/2025,1.913.134,"50.252.116,46",1.601.988,"33.847.427,21",20.000,"820.000,00",0,"0,00"
02/11/2025,1.280.187,"32.410.157,06",1.352.363,"39.390.109,54",0,"0,00",0,"0,00"
02/10/2025,2.305.872,"76.304.224,70",2.429.105,"79.779.312,40",0,"0,00",0,"0,00"
02/07/2025,1.012.538,"26.699.261,45",1.028.007,"31.918.882,45",188.888,"4.863.866,00",188.888,"4.863.866,00"
02/06/2025,1.205.446,"37.157.553,45",2.590.776,"97.482.202,48",0,"0,00",0,"0,00"
02/05/2025,2.027.366,"51.981.177,15",1.462.879,"40.835.466,93",0,"0,00",0,"0,00"
02/04/2025,1.280.514,"38.812.675,95",1.638.244,"39.953.797,20",0,"0,00",430.000,"5.117.000,00"
02/03/2025,919.281,"26.900.302,05",2.376.561,"59.689.603,95",0,"0,00",0,"0,00"
01/24/2025,711.529,"23.233.073,15",841.815,"23.597.008,88",0,"0,00",0,"0,00"
01/23/2025,2.752.624,"67.619.952,10",1.690.253,"46.001.737,70",20.000,"970.000,00",0,"0,00"
01/22/2025,1.281.132,"29.038.086,73",519.157,"17.287.068,97",0,"0,00",0,"0,00"
01/21/2025,1.014.942,"21.328.039,14",1.334.606,"38.452.188,17",0,"0,00",60.000,"2.340.000,00"
01/20/2025,836.368,"19.371.015,85",1.031.554,"24.786.631,42",0,"0,00",114.000,"2.777.838,00"
01/17/2025,412.868,"16.886.298,05",775.252,"21.748.400,75",0,"0,00",0,"0,00"
01/16/2025,828.011,"21.211.036,00",744.637,"16.771.936,65",0,"0,00",0,"0,00"
01/15/2025,768.269,"35.578.925,45",853.425,"24.497.822,25",0,"0,00",0,"0,00"
01/14/2025,813.156,"20.200.138,20",382.521,"14.492.673,15",0,"0,00",0,"0,00"
01/13/2025,657.956,"17.143.310,95",2.681.940,"66.937.828,70",0,"0,00",0,"0,00"
01/10/2025,1.064.449,"27.284.282,08",377.908,"9.437.666,85",0,"0,00",0,"0,00"
01/09/2025,717.685,"21.436.572,00",337.872,"11.155.608,05",0,"0,00",30.000,"2.640.000,00"
01/08/2025,414.615,"13.637.868,10",734.479,"19.436.167,90",25.000,"712.500,00",50.000,"2.300.000,00"
01/07/2025,621.400,"21.977.088,20",924.817,"30.174.541,22",0,"0,00",0,"0,00"
01/06/2025,1.232.732,"25.342.881,92",658.308,"21.806.920,09",0,"0,00",0,"0,00"
01/03/2025,1.136.057,"31.393.567,35",432.076,"17.384.574,60",0,"0,00",0,"0,00"
01/02/2025,1.370.286,"34.195.347,79",723.208,"16.345.689,22",0,"0,00",0,"0,00"
12/31/2024,689.077,"28.258.523,99",912.121,"24.408.831,90",30.000,"720.000,00",30.000,"720.000,00"
12/30/2024,968.013,"27.696.434,70",568.293,"17.125.850,00",0,"0,00",0,"0,00"
12/27/2024,941.406,"29.154.679,95",1.209.503,"38.148.486,25",62.055,"420.732,90",39.000,"1.794.000,00"
12/26/2024,962.644,"28.019.491,75",776.600,"22.453.268,85",0,"0,00",0,"0,00"
12/25/2024,1.708.627,"49.166.698,45",884.829,"24.630.459,15",0,"0,00",23.000,"1.817.000,00"
12/24/2024,602.507,"19.198.032,15",905.350,"27.186.185,35",0,"0,00",0,"0,00"
12/23/2024,1.541.357,"45.786.835,05",764.613,"30.685.748,50",0,"0,00",0,"0,00"
12/20/2024,539.900,"15.465.702,66",792.800,"25.778.355,55",60.000,"1.878.000,00",0,"0,00"
12/19/2024,906.369,"25.356.257,66",2.557.154,"70.701.358,55",0,"0,00",0,"0,00"
12/18/2024,526.847,"15.410.303,55",890.326,"20.326.815,76",0,"0,00",0,"0,00"
12/17/2024,736.719,"21.756.157,35",704.104,"21.706.126,01",0,"0,00",0,"0,00"
12/16/2024,601.826,"17.516.023,10",884.887,"20.689.920,25",0,"0,00",0,"0,00"
12/13/2024,370.206,"14.477.075,92",1.189.384,"31.501.681,20",49.300,"1.355.750,00",0,"0,00"
12/12/2024,998.394,"36.953.182,20",1.910.805,"56.461.811,29",337.000,"9.419.500,00",0,"0,00"
12/11/2024,1.050.354,"33.245.051,85",1.095.000,"38.712.297,05",0,"0,00",40.000,"1.032.000,00"
12/10/2024,1.883.252,"40.130.753,98",2.461.081,"59.547.421,45",30.000,"2.880.000,00",0,"0,00"
12/09/2024,1.847.275,"24.563.859,33",1.671.118,"53.152.036,59",0,"0,00",180.000,"4.500.000,00"
12/06/2024,1.414.255,"37.350.024,20",1.656.300,"55.949.317,30",0,"0,00",0,"0,00"
12/05/2024,1.267.453,"37.423.306,65",3.220.318,"72.154.227,25",150.000,"5.601.000,00",110.000,"2.840.000,00"
12/04/2024,1.281.789,"35.274.147,01",801.937,"30.780.197,20",200.000,"5.120.000,00",0,"0,00"
12/03/2024,1.361.385,"35.141.881,95",738.587,"21.422.066,30",0,"0,00",110.000,"3.036.000,00"
12/02/2024,887.715,"30.605.696,45",1.157.287,"27.844.231,73",20.000,"1.858.000,00",0,"0,00"
11/29/2024,1.563.530,"32.103.063,00",800.346,"24.862.376,72",0,"0,00",0,"0,00"
11/28/2024,1.223.096,"31.240.104,65",778.295,"15.889.678,65",0,"0,00",40.000,"1.100.000,00"
11/27/2024,765.220,"19.239.994,80",886.729,"21.775.118,42",0,"0,00",0,"0,00"
11/26/2024,1.460.030,"34.642.375,80",853.288,"21.103.366,28",0,"0,00",0,"0,00"
11/25/2024,2.422.055,"52.979.024,99",938.933,"23.250.917,27",0,"0,00",0,"0,00"
11/22/2024,884.410,"20.172.248,47",775.865,"24.053.517,60",0,"0,00",0,"0,00"
11/21/2024,642.790,"19.749.651,07",1.479.543,"38.036.052,05",0,"0,00",0,"0,00"
11/20/2024,1.187.205,"35.847.322,60",1.481.481,"33.329.754,75",0,"0,00",0,"0,00"
11/19/2024,862.326,"26.762.730,95",845.037,"23.354.155,63",0,"0,00",0,"0,00"
11/18/2024,1.576.526,"36.057.482,60",1.106.414,"38.799.947,18",0,"0,00",0,"0,00"
11/15/2024,1.518.870,"37.729.921,90",1.109.801,"29.299.380,30",0,"0,00",0,"0,00"
11/14/2024,1.258.310,"36.581.995,70",1.861.128,"35.487.594,80",24.800.000,"305.040.000,00",0,"0,00"
11/13/2024,763.088,"27.313.137,68",1.562.349,"43.249.274,90",0,"0,00",0,"0,00"
