Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),Tổng KL ròng (CP)
02/24/2025,"-980.042,00","-15.244.624,04","0,00","0,00","2.666.587,00"
02/21/2025,"129.328,00","4.699.351,66","0,00","0,00","-13.021.726,00"
02/20/2025,"-1.450.243,00","-49.160.484,11","100.000,00","2.641.000,00","7.568.352,00"
02/19/2025,"-2.711.257,00","-61.093.283,53","0,00","0,00","9.706.443,00"
02/18/2025,"124.857,00","3.445.470,00","0,00","0,00","9.655.863,00"
02/17/2025,"-1.222.596,00","-39.596.181,06","0,00","0,00","22.376.483,00"
02/14/2025,"-42.357,00","-3.495.084,15","0,00","0,00","18.979.880,00"
02/13/2025,"151.472,00","6.055.537,82","30.000,00","1.230.000,00","9.977.202,00"
02/12/2025,"311.146,00","16.404.689,25","20.000,00","820.000,00","4.615.342,00"
02/11/2025,"-72.176,00","-6.979.952,48","0,00","0,00","2.100.132,00"
02/10/2025,"-123.233,00","-3.475.087,70","0,00","0,00","-11.435.548,00"
02/07/2025,"-15.469,00","-5.219.621,00","0,00","0,00","10.404.994,00"
02/06/2025,"-1.385.330,00","-60.324.649,03","0,00","0,00","4.415.937,00"
02/05/2025,"564.487,00","11.145.710,22","0,00","0,00","21.706.360,00"
02/04/2025,"-357.730,00","-1.141.121,25","-430.000,00","-5.117.000,00","-18.094.508,00"
02/03/2025,"-1.457.280,00","-32.789.301,90","0,00","0,00","-20.202.595,00"
01/24/2025,"-130.286,00","-363.935,73","0,00","0,00","24.446.703,00"
01/23/2025,"1.062.371,00","21.618.214,40","20.000,00","970.000,00","30.051.453,00"
01/22/2025,"761.975,00","11.751.017,76","0,00","0,00","20.395.949,00"
01/21/2025,"-319.664,00","-17.124.149,03","-60.000,00","-2.340.000,00","10.864.651,00"
01/20/2025,"-195.186,00","-5.415.615,57","-114.000,00","-2.777.838,00","13.641.792,00"
01/17/2025,"-362.384,00","-4.862.102,70","0,00","0,00","17.805.280,00"
01/16/2025,"83.374,00","4.439.099,35","0,00","0,00","-13.955.482,00"
01/15/2025,"-85.156,00","11.081.103,20","0,00","0,00","-4.160.277,00"
01/14/2025,"430.635,00","5.707.465,05","0,00","0,00","-3.558.980,00"
01/13/2025,"-2.023.984,00","-49.794.517,75","0,00","0,00","12.300.097,00"
01/10/2025,"686.541,00","17.846.615,23","0,00","0,00","-7.007.989,00"
01/09/2025,"379.813,00","10.280.963,95","-30.000,00","-2.640.000,00","-4.444.188,00"
01/08/2025,"-319.864,00","-5.798.299,80","-25.000,00","-1.587.500,00","441.758,00"
01/07/2025,"-303.417,00","-8.197.453,02","0,00","0,00","-8.067.184,00"
01/06/2025,"574.424,00","3.535.961,83","0,00","0,00","2.084.420,00"
01/03/2025,"703.981,00","14.008.992,75","0,00","0,00","-2.436.614,00"
01/02/2025,"647.078,00","17.849.658,57","0,00","0,00","-17.379.802,00"
12/31/2024,"-223.044,00","3.849.692,09","0,00","0,00","14.382.203,00"
12/30/2024,"399.720,00","10.570.584,70","0,00","0,00","-5.348.823,00"
12/27/2024,"-268.097,00","-8.993.806,30","23.055,00","-1.373.267,10","6.688.491,00"
12/26/2024,"186.044,00","5.566.222,90","0,00","0,00","11.996.474,00"
12/25/2024,"823.798,00","24.536.239,30","-23.000,00","-1.817.000,00","30.973.351,00"
12/24/2024,"-302.843,00","-7.988.153,20","0,00","0,00","-81.893,00"
12/23/2024,"776.744,00","15.101.086,55","0,00","0,00","5.585.501,00"
12/20/2024,"-252.900,00","-10.312.652,89","60.000,00","1.878.000,00","-6.551.098,00"
12/19/2024,"-1.650.785,00","-45.345.100,89","0,00","0,00","-35.768.923,00"
12/18/2024,"-363.479,00","-4.916.512,21","0,00","0,00","-6.327.007,00"
12/17/2024,"32.615,00","50.031,34","0,00","0,00","-5.703.824,00"
12/16/2024,"-283.061,00","-3.173.897,15","0,00","0,00","-1.637.306,00"
12/13/2024,"-819.178,00","-17.024.605,28","49.300,00","1.355.750,00","-4.890.642,00"
12/12/2024,"-912.411,00","-19.508.629,09","337.000,00","9.419.500,00","-427.687,00"
12/11/2024,"-44.646,00","-5.467.245,20","-40.000,00","-1.032.000,00","-17.706.445,00"
12/10/2024,"-577.829,00","-19.416.667,47","30.000,00","2.880.000,00","-4.562.372,00"
12/09/2024,"176.157,00","-28.588.177,26","-180.000,00","-4.500.000,00","-1.442.402,00"
12/06/2024,"-242.045,00","-18.599.293,10","0,00","0,00","15.142.709,00"
12/05/2024,"-1.952.865,00","-34.730.920,60","40.000,00","2.761.000,00","34.424.988,00"
12/04/2024,"479.852,00","4.493.949,81","200.000,00","5.120.000,00","-10.680.052,00"
12/03/2024,"622.798,00","13.719.815,65","-110.000,00","-3.036.000,00","-8.253.212,00"
12/02/2024,"-269.572,00","2.761.464,72","20.000,00","1.858.000,00","-5.782.046,00"
11/29/2024,"763.184,00","7.240.686,28","0,00","0,00","813.440,00"
11/28/2024,"444.801,00","15.350.426,00","-40.000,00","-1.100.000,00","15.390.249,00"
11/27/2024,"-121.509,00","-2.535.123,62","0,00","0,00","5.772.602,00"
11/26/2024,"606.742,00","13.539.009,52","0,00","0,00","15.268.647,00"
11/25/2024,"1.483.122,00","29.728.107,72","0,00","0,00","11.963,00"
11/22/2024,"108.545,00","-3.881.269,13","0,00","0,00","12.626.389,00"
11/21/2024,"-836.753,00","-18.286.400,98","0,00","0,00","27.268.196,00"
11/20/2024,"-294.276,00","2.517.567,85","0,00","0,00","6.828.342,00"
11/19/2024,"17.289,00","3.408.575,32","0,00","0,00","2.154.973,00"
11/18/2024,"470.112,00","-2.742.464,58","0,00","0,00","-14.388.374,00"
11/15/2024,"409.069,00","8.430.541,60","0,00","0,00","-2.286.735,00"
11/14/2024,"-602.818,00","1.094.400,90","24.800.000,00","305.040.000,00","2.248.645,00"
11/13/2024,"-799.261,00","-15.936.137,22","0,00","0,00","17.276.846,00"
11/12/2024,"-629.789,00","-11.101.875,37","0,00","0,00","7.967.402,00"
11/11/2024,"252.366,00","10.268.443,37","0,00","0,00","14.303.046,00"
11/08/2024,"-513.761,00","-30.116.757,60","0,00","0,00","3.506.825,00"
11/07/2024,"871.647,00","12.620.889,79","200.000,00","5.120.000,00","9.808.481,00"
11/06/2024,"-250.542,00","-5.190.796,95","0,00","0,00","18.590.930,00"
11/05/2024,"-672.340,00","-21.812.957,31","0,00","0,00","-1.202.082,00"
