Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
02/24/2025,719.359.195,"17.538.548.423,80",713.389.408,"17.123.214.782,95",5.969.787,"415.333.640,85"
02/21/2025,604.702.634,"13.559.331.967,56",591.326.730,"13.075.185.761,69",13.375.904,"484.146.205,86"
02/20/2025,614.312.232,"13.322.677.959,79",612.754.047,"12.924.445.046,27",1.558.185,"398.232.913,52"
02/19/2025,633.972.391,"13.870.648.834,41",663.526.388,"14.448.880.823,16",-29.553.997,"-578.231.988,75"
02/18/2025,553.032.164,"11.676.127.261,73",565.146.129,"11.706.233.956,56",-12.113.965,"-30.106.694,84"
02/17/2025,710.125.761,"15.144.353.778,26",728.535.635,"14.923.314.220,60",-18.409.874,"221.039.557,65"
02/14/2025,502.781.722,"11.902.858.740,19",527.628.913,"12.039.270.126,21",-24.847.191,"-136.411.386,02"
02/13/2025,388.890.957,"9.543.476.377,94",392.554.198,"9.473.930.885,94",-3.663.241,"69.545.492,00"
02/12/2025,407.884.767,"9.414.707.453,30",398.171.232,"9.060.491.066,29",9.713.535,"354.216.387,01"
02/11/2025,501.641.588,"11.730.743.431,61",495.876.595,"11.279.917.408,76",5.764.993,"450.826.022,85"
02/10/2025,631.029.448,"15.775.350.916,30",600.394.024,"14.886.756.202,79",30.635.424,"888.594.713,51"
02/07/2025,474.728.805,"11.726.102.234,36",461.902.873,"10.616.594.134,25",12.825.932,"1.109.508.100,11"
02/06/2025,429.163.277,"10.208.388.978,72",423.705.144,"9.856.040.133,02",5.458.133,"352.348.845,71"
02/05/2025,426.389.643,"9.804.165.304,59",441.592.113,"10.025.899.525,67",-15.202.470,"-221.734.221,08"
02/04/2025,512.458.933,"12.272.414.545,49",481.695.555,"10.880.199.332,07",30.763.378,"1.392.215.213,42"
02/03/2025,423.252.899,"11.082.207.948,71",364.115.638,"9.038.250.456,72",59.137.261,"2.043.957.491,99"
01/24/2025,353.655.400,"7.866.738.437,62",408.616.523,"9.288.348.037,13",-54.961.123,"-1.421.609.599,51"
01/23/2025,369.631.089,"9.353.477.423,03",407.922.881,"10.379.462.801,93",-38.291.792,"-1.025.985.378,90"
01/22/2025,413.354.547,"9.916.434.708,58",423.597.187,"10.120.990.501,94",-10.242.640,"-204.555.793,37"
01/21/2025,384.448.146,"8.816.098.484,73",385.139.273,"8.887.312.511,46",-691.127,"-71.214.026,73"
01/20/2025,357.057.879,"8.366.294.704,07",361.322.653,"8.086.805.212,32",-4.264.774,"279.489.491,76"
01/17/2025,295.760.739,"6.977.973.295,40",308.540.942,"7.283.167.263,32",-12.780.203,"-305.193.967,92"
01/16/2025,402.624.718,"11.087.922.739,63",299.052.483,"7.462.938.230,89",103.572.235,"3.624.984.508,74"
01/15/2025,355.617.877,"8.305.315.650,99",354.862.473,"7.840.009.306,21",755.404,"465.306.344,78"
01/14/2025,290.702.209,"6.719.279.564,65",267.290.962,"6.081.200.159,87",23.411.247,"638.079.404,77"
01/13/2025,369.396.611,"8.418.448.189,60",407.852.571,"9.497.600.652,28",-38.455.960,"-1.079.152.462,68"
01/10/2025,399.774.474,"8.926.580.078,21",391.319.647,"8.869.803.358,05",8.454.827,"56.776.720,16"
01/09/2025,272.908.398,"6.243.661.020,09",250.905.401,"5.730.635.491,02",22.002.997,"513.025.529,07"
01/08/2025,303.998.534,"7.116.531.451,80",334.438.691,"7.633.010.285,27",-30.440.157,"-516.478.833,47"
01/07/2025,432.050.180,"10.240.675.984,46",421.826.464,"10.232.800.440,00",10.223.716,"7.875.544,46"
01/06/2025,430.366.341,"10.645.230.529,56",446.317.841,"11.351.184.706,82",-15.951.500,"-705.954.177,27"
01/03/2025,453.745.597,"11.532.358.466,06",405.641.747,"9.976.984.025,05",48.103.850,"1.555.374.441,01"
01/02/2025,313.828.136,"8.493.527.551,45",287.250.530,"7.244.849.910,31",26.577.606,"1.248.677.641,14"
12/31/2024,359.603.761,"8.855.994.683,51",335.773.423,"8.563.399.520,09",23.830.338,"292.595.163,43"
12/30/2024,393.491.166,"8.711.124.855,38",400.507.879,"9.010.302.495,42",-7.016.713,"-299.177.640,04"
12/27/2024,497.897.782,"12.258.000.789,55",540.071.009,"14.014.111.421,01",-42.173.227,"-1.756.110.631,46"
12/26/2024,432.652.917,"10.414.764.146,59",457.168.049,"10.319.072.595,93",-24.515.132,"95.691.550,66"
12/25/2024,610.813.732,"14.574.738.671,55",663.404.878,"16.195.165.661,73",-52.591.146,"-1.620.426.990,18"
12/24/2024,532.563.086,"12.712.301.471,89",525.051.024,"12.234.955.876,18",7.512.062,"477.345.595,71"
12/23/2024,401.204.922,"10.125.777.141,99",399.004.887,"9.916.941.104,37",2.200.035,"208.836.037,62"
12/20/2024,435.462.999,"9.778.632.873,14",382.501.080,"8.943.358.047,93",52.961.919,"835.274.825,21"
12/19/2024,667.910.049,"15.166.146.056,40",596.744.517,"13.393.781.224,89",71.165.532,"1.772.364.831,50"
12/18/2024,400.764.158,"9.954.085.439,09",396.501.833,"9.981.022.189,07",4.262.325,"-26.936.749,98"
12/17/2024,377.806.347,"9.321.008.545,29",349.006.114,"8.519.866.060,24",28.800.233,"801.142.485,04"
12/16/2024,426.173.829,"10.146.355.774,84",403.736.905,"9.656.995.635,75",22.436.924,"489.360.139,09"
12/13/2024,378.092.986,"9.057.019.233,20",359.516.483,"8.743.157.684,33",18.576.503,"313.861.548,87"
12/12/2024,461.983.672,"11.240.201.406,78",451.876.269,"10.850.470.492,06",10.107.403,"389.730.914,72"
12/11/2024,505.264.610,"12.529.590.350,30",476.280.071,"11.673.198.543,74",28.984.539,"856.391.806,56"
12/10/2024,523.492.099,"12.148.351.662,35",505.665.657,"11.850.476.872,36",17.826.442,"297.874.789,99"
12/09/2024,612.695.343,"13.923.611.938,70",607.073.365,"13.451.423.623,94",5.621.978,"472.188.314,76"
12/06/2024,544.799.968,"13.867.550.128,51",564.806.937,"14.512.446.844,24",-20.006.969,"-644.896.715,73"
12/05/2024,715.101.439,"16.911.793.677,30",775.814.303,"18.763.967.398,22",-60.712.864,"-1.852.173.720,92"
12/04/2024,477.622.947,"11.754.230.646,35",443.163.944,"10.837.129.343,19",34.459.003,"917.101.303,17"
12/03/2024,550.571.946,"13.067.330.995,23",528.731.672,"12.571.180.513,31",21.840.274,"496.150.481,92"
12/02/2024,384.798.432,"9.278.367.415,58",370.964.803,"8.835.981.734,37",13.833.629,"442.385.681,20"
11/29/2024,389.366.235,"10.441.735.417,30",377.106.545,"10.571.126.079,20",12.259.690,"-129.390.661,90"
11/28/2024,342.757.483,"8.152.596.674,74",353.664.053,"8.706.099.781,18",-10.906.570,"-553.503.106,44"
11/27/2024,329.654.580,"8.724.738.661,98",324.772.922,"9.045.014.097,09",4.881.658,"-320.275.435,12"
11/26/2024,441.972.193,"10.286.878.291,37",467.862.842,"11.163.608.425,66",-25.890.649,"-876.730.134,29"
11/25/2024,370.559.400,"8.932.958.505,60",378.316.594,"9.032.533.810,11",-7.757.194,"-99.575.304,51"
11/22/2024,406.413.186,"9.952.544.689,09",408.092.559,"10.007.989.243,46",-1.679.373,"-55.444.554,37"
11/21/2024,312.747.875,"7.620.829.754,88",321.768.355,"8.223.114.404,08",-9.020.480,"-602.284.649,20"
11/20/2024,565.145.371,"13.398.239.859,52",526.970.736,"12.524.445.634,47",38.174.635,"873.794.225,04"
11/19/2024,407.096.454,"10.410.806.790,51",352.819.006,"9.024.148.830,08",54.277.448,"1.386.657.960,43"
11/18/2024,512.727.926,"12.257.961.212,12",451.470.748,"10.795.670.847,27",61.257.178,"1.462.290.364,85"
11/15/2024,581.765.705,"14.260.461.397,31",563.455.524,"13.918.059.146,76",18.310.181,"342.402.250,55"
11/14/2024,558.274.646,"13.113.372.334,73",517.961.312,"12.368.988.316,85",40.313.334,"744.384.017,88"
11/13/2024,519.425.841,"11.869.590.079,86",521.492.743,"12.471.612.490,49",-2.066.902,"-602.022.410,63"
11/12/2024,488.889.871,"11.707.729.759,74",468.942.440,"11.407.672.461,83",19.947.431,"300.057.297,92"
11/11/2024,650.785.381,"16.591.373.568,85",637.506.514,"16.169.377.470,38",13.278.867,"421.996.098,47"
11/08/2024,459.043.999,"11.799.238.159,42",427.459.253,"10.873.664.186,05",31.584.746,"925.573.973,38"
11/07/2024,380.568.968,"9.753.187.872,75",379.972.028,"9.744.238.207,11",596.940,"8.949.665,64"
11/06/2024,426.387.192,"10.939.764.390,33",429.234.833,"11.240.953.218,82",-2.847.641,"-301.188.828,49"
11/05/2024,308.205.066,"7.531.880.114,25",293.852.855,"7.655.210.607,63",14.352.211,"-123.330.493,38"
11/04/2024,562.693.110,"12.602.932.416,31",545.534.261,"12.121.728.635,35",17.158.849,"481.203.780,96"
11/01/2024,426.056.727,"10.778.976.016,68",407.730.010,"10.261.168.091,91",18.326.717,"517.807.924,77"
10/31/2024,401.349.581,"10.318.117.675,11",388.460.430,"9.448.687.091,29",12.889.151,"869.430.583,82"
10/30/2024,403.881.221,"9.999.723.269,97",404.248.574,"9.948.940.166,96",-367.353,"50.783.103,00"
10/29/2024,614.669.869,"13.443.354.832,92",444.288.516,"10.495.604.118,49",170.381.353,"2.947.750.714,44"
10/28/2024,390.475.588,"8.803.254.870,41",373.188.878,"8.433.073.935,42",17.286.710,"370.180.934,99"
10/25/2024,434.499.894,"10.794.274.578,57",438.529.499,"10.946.581.793,31",-4.029.605,"-152.307.214,74"
10/24/2024,520.970.066,"12.807.949.614,81",520.013.423,"13.032.196.998,19",956.643,"-224.247.383,38"
10/23/2024,453.901.019,"10.958.086.852,15",459.220.091,"11.444.909.336,32",-5.319.072,"-486.822.484,18"
10/22/2024,635.122.537,"16.020.706.131,94",630.622.323,"15.856.700.125,49",4.500.214,"164.006.006,45"
10/21/2024,498.319.992,"12.164.868.380,84",487.087.405,"11.825.389.528,68",11.232.587,"339.478.852,16"
10/18/2024,539.367.221,"12.871.184.612,11",546.066.531,"13.022.802.553,51",-6.699.310,"-151.617.941,40"
10/17/2024,531.038.332,"12.617.877.100,02",523.411.037,"12.264.098.728,76",7.627.295,"353.778.371,26"
10/16/2024,412.859.955,"10.562.530.497,71",399.106.075,"10.179.639.411,09",13.753.880,"382.891.086,62"
10/15/2024,584.836.605,"14.322.106.861,18",550.620.503,"13.217.054.947,03",34.216.102,"1.105.051.914,15"
10/14/2024,653.948.150,"15.711.730.043,35",622.769.851,"14.570.766.263,85",31.178.299,"1.140.963.779,50"
10/11/2024,404.396.987,"10.505.893.555,91",386.601.908,"10.059.672.208,82",17.795.079,"446.221.347,09"
10/10/2024,530.611.334,"14.282.918.261,78",554.421.173,"15.006.192.118,67",-23.809.839,"-723.273.856,89"
10/09/2024,487.768.539,"12.864.683.600,75",487.573.720,"12.935.992.720,86",194.819,"-71.309.120,12"
10/08/2024,534.032.404,"12.983.452.007,97",529.767.322,"12.968.456.239,95",4.265.082,"14.995.768,02"
10/07/2024,410.075.264,"9.650.322.499,84",392.199.115,"9.322.870.102,05",17.876.149,"327.452.397,80"
10/04/2024,477.186.765,"11.228.028.664,96",472.767.375,"11.086.995.830,89",4.419.390,"141.032.834,07"
10/03/2024,817.864.153,"18.774.940.992,41",843.774.549,"19.762.654.213,31",-25.910.396,"-987.713.220,90"
10/02/2024,595.732.753,"14.105.077.392,56",624.563.683,"15.127.810.885,30",-28.830.930,"-1.022.733.492,74"
10/01/2024,777.991.403,"18.125.001.798,09",788.056.083,"18.849.596.987,55",-10.064.680,"-724.595.189,46"
09/30/2024,621.168.715,"13.878.917.349,42",595.532.836,"13.442.117.168,66",25.635.879,"436.800.180,75"
09/27/2024,754.791.822,"17.832.486.939,99",760.490.110,"18.198.313.309,78",-5.698.288,"-365.826.369,79"
09/26/2024,719.838.960,"16.636.548.503,70",777.967.326,"18.364.109.215,00",-58.128.366,"-1.727.560.711,29"
09/25/2024,777.213.853,"18.408.506.461,36",793.627.350,"18.582.808.438,34",-16.413.497,"-174.301.976,98"
09/24/2024,619.768.783,"14.132.079.248,11",425.854.978,"10.921.830.563,56",193.913.805,"3.210.248.684,55"
09/23/2024,429.008.947,"10.175.801.895,18",416.641.918,"9.940.816.149,43",12.367.029,"234.985.745,76"
09/20/2024,675.245.256,"17.169.556.318,24",650.690.603,"16.572.420.486,96",24.554.653,"597.135.831,27"
09/19/2024,470.773.347,"11.152.519.811,34",422.408.165,"10.835.873.134,66",48.365.182,"316.646.676,69"
09/18/2024,651.897.124,"15.376.408.967,26",560.973.304,"14.300.962.454,18",90.923.820,"1.075.446.513,08"
09/17/2024,499.431.229,"10.830.331.679,19",526.236.200,"11.522.386.179,78",-26.804.971,"-692.054.500,59"
09/16/2024,441.917.749,"10.636.121.650,69",437.725.589,"10.613.341.000,10",4.192.160,"22.780.650,59"
09/13/2024,381.226.735,"9.124.268.147,93",376.757.432,"8.892.814.200,38",4.469.303,"231.453.947,55"
09/12/2024,339.759.915,"8.110.231.850,50",327.136.423,"7.992.662.530,66",12.623.492,"117.569.319,84"
09/11/2024,464.244.650,"10.284.295.102,75",462.955.906,"10.555.409.648,20",1.288.744,"-271.114.545,45"
09/10/2024,553.886.690,"12.937.956.650,72",533.769.143,"12.576.959.446,64",20.117.547,"360.997.204,08"
09/09/2024,397.563.996,"9.571.370.515,60",369.431.457,"8.692.010.168,82",28.132.539,"879.360.346,78"
09/06/2024,457.859.698,"11.276.633.306,54",471.446.264,"11.883.292.347,72",-13.586.566,"-606.659.041,18"
09/05/2024,487.346.633,"12.862.550.607,99",462.391.251,"12.176.383.478,49",24.955.382,"686.167.129,49"
09/04/2024,527.216.225,"13.042.570.859,54",491.934.611,"12.030.023.969,36",35.281.614,"1.012.546.890,18"
08/30/2024,415.694.911,"9.886.168.485,28",461.282.438,"11.377.922.114,99",-45.587.527,"-1.491.753.629,71"
08/29/2024,495.087.055,"10.967.816.309,11",479.899.298,"10.943.051.273,55",15.187.757,"24.765.035,57"
08/28/2024,607.681.296,"14.004.673.091,29",586.721.598,"13.631.103.149,12",20.959.698,"373.569.942,17"
08/27/2024,523.983.399,"13.541.237.715,16",507.968.346,"13.573.057.721,22",16.015.053,"-31.820.006,05"
08/26/2024,634.461.908,"15.486.761.541,81",618.270.832,"15.407.867.206,40",16.191.076,"78.894.335,41"
08/23/2024,580.969.565,"13.462.124.072,67",587.058.521,"14.245.084.176,15",-6.088.956,"-782.960.103,48"
08/22/2024,528.825.564,"12.615.696.108,79",495.058.667,"12.261.560.120,64",33.766.897,"354.135.988,15"
08/21/2024,637.317.954,"16.099.730.608,37",644.976.026,"16.681.707.279,33",-7.658.072,"-581.976.670,96"
08/20/2024,666.670.526,"16.058.886.914,20",677.147.334,"16.431.444.627,88",-10.476.808,"-372.557.713,68"
08/19/2024,573.830.735,"14.450.706.348,21",563.412.358,"14.231.831.884,64",10.418.377,"218.874.463,57"
08/16/2024,790.178.450,"19.429.156.533,57",780.606.712,"19.111.741.092,21",9.571.738,"317.415.441,36"
08/15/2024,376.917.263,"8.894.149.348,06",378.563.659,"9.274.259.017,45",-1.646.396,"-380.109.669,39"
08/14/2024,380.811.809,"9.778.934.181,87",392.073.268,"10.554.566.832,48",-11.261.459,"-775.632.650,62"
08/13/2024,401.579.749,"9.897.723.502,71",419.602.895,"10.701.520.714,91",-18.023.146,"-803.797.212,20"
08/12/2024,425.908.479,"11.329.029.019,87",424.685.603,"11.283.631.159,65",1.222.876,"45.397.860,22"
08/09/2024,459.417.748,"11.347.899.909,77",465.971.513,"11.621.703.685,32",-6.553.765,"-273.803.775,56"
08/08/2024,568.884.180,"13.024.507.756,60",549.645.001,"12.379.960.967,66",19.239.179,"644.546.788,94"
08/07/2024,438.245.749,"10.707.331.016,12",414.058.961,"9.950.731.233,55",24.186.788,"756.599.782,57"
08/06/2024,488.316.889,"11.848.517.894,71",488.509.559,"11.628.946.565,40",-192.670,"219.571.329,31"
08/05/2024,828.608.089,"19.182.080.359,35",790.657.883,"18.597.075.120,90",37.950.206,"585.005.238,45"
08/02/2024,514.733.039,"12.394.416.740,09",535.885.083,"13.002.092.080,09",-21.152.044,"-607.675.340,00"
08/01/2024,685.619.879,"16.365.681.067,30",707.098.264,"17.509.922.115,97",-21.478.385,"-1.144.241.048,67"
07/31/2024,601.729.879,"14.381.695.787,87",570.481.505,"13.574.191.193,30",31.248.374,"807.504.594,57"
07/30/2024,547.188.569,"11.582.698.539,38",534.633.500,"11.419.440.280,87",12.555.069,"163.258.258,51"
07/29/2024,402.676.775,"9.678.740.830,80",391.488.394,"9.445.515.375,97",11.188.381,"233.225.454,83"
07/26/2024,360.797.916,"9.186.315.385,93",352.795.730,"9.237.490.830,76",8.002.186,"-51.175.444,84"
07/25/2024,364.171.598,"9.174.170.566,86",340.499.037,"8.603.103.068,73",23.672.561,"571.067.498,14"
07/24/2024,560.687.012,"13.709.339.749,81",596.285.707,"14.804.718.544,88",-35.598.695,"-1.095.378.795,07"
07/23/2024,584.738.471,"14.738.900.623,57",593.263.563,"15.372.157.555,70",-8.525.092,"-633.256.932,14"
07/22/2024,721.257.811,"17.001.719.646,91",777.865.371,"18.283.119.680,45",-56.607.560,"-1.281.400.033,54"
07/19/2024,643.157.680,"15.757.307.403,57",638.896.223,"15.070.344.576,30",4.261.457,"686.962.827,27"
