Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
02/24/2025,654.966.586,"15.617.518.466,88",653.932.500,"15.319.041.739,45",64.392.609,"1.921.029.956,92",59.456.908,"1.804.173.043,50"
02/21/2025,542.725.827,"12.362.708.362,07",535.590.165,"12.035.013.810,50",61.976.807,"1.196.623.605,49",55.736.565,"1.040.171.951,19"
02/20/2025,569.574.904,"12.395.932.282,96",572.053.914,"12.192.092.385,57",44.737.328,"926.745.676,83",40.700.133,"732.352.660,70"
02/19/2025,584.024.355,"12.471.919.397,61",611.045.581,"12.930.772.138,61",49.948.036,"1.398.729.436,80",52.480.807,"1.518.108.684,55"
02/18/2025,487.480.316,"10.432.504.742,24",498.905.843,"10.452.312.475,81",65.551.848,"1.243.622.519,49",66.240.286,"1.253.921.480,75"
02/17/2025,602.569.269,"13.026.926.803,55",623.040.644,"12.858.395.868,40",107.556.492,"2.117.426.974,70",105.494.991,"2.064.918.352,20"
02/14/2025,476.906.835,"11.219.852.333,71",500.721.667,"11.397.827.798,81",25.874.887,"683.006.406,47",26.907.246,"641.442.327,40"
02/13/2025,356.310.990,"8.862.110.160,24",358.252.534,"8.747.312.733,74",32.579.967,"681.366.217,70",34.301.664,"726.618.152,20"
02/12/2025,369.282.652,"8.468.720.089,95",359.625.340,"8.109.727.832,38",38.602.115,"945.987.363,35",38.545.892,"950.763.233,90"
02/11/2025,456.346.521,"10.653.058.064,88",446.446.037,"10.020.326.660,86",45.295.067,"1.077.685.366,73",49.430.558,"1.259.590.747,90"
02/10/2025,571.393.188,"14.439.547.481,23",543.203.235,"13.612.192.112,74",59.636.260,"1.335.803.435,06",57.190.789,"1.274.564.090,05"
