Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
02/24/2025,51.295.330,"1.794.418.274,35",53.154.561,"2.044.713.541,50",-1.859.231,"-250.295.267,15"
02/21/2025,45.855.345,"1.256.860.405,00",42.180.009,"1.455.851.157,76",3.675.336,"-198.990.752,76"
02/20/2025,52.284.076,"1.323.580.641,95",53.493.175,"1.671.750.192,68",-1.209.099,"-348.169.550,73"
02/19/2025,72.954.394,"1.944.100.029,80",48.420.569,"1.529.599.414,99",24.533.825,"414.500.614,81"
02/18/2025,50.415.793,"1.320.120.871,55",46.771.016,"1.467.389.740,24",3.644.777,"-147.268.868,69"
02/17/2025,51.629.018,"1.170.233.771,90",53.345.830,"1.731.729.393,69",-1.716.812,"-561.495.621,79"
02/14/2025,53.084.810,"1.480.043.186,00",44.300.201,"1.655.884.569,60",8.784.609,"-175.841.383,60"
02/13/2025,35.575.753,"1.067.120.424,70",39.399.883,"1.307.323.468,80",-3.824.130,"-240.203.044,10"
02/12/2025,26.287.040,"893.989.456,60",41.155.845,"1.319.716.838,74",-14.868.805,"-425.727.382,14"
02/11/2025,45.273.179,"1.447.108.579,20",57.431.634,"2.020.144.692,20",-12.158.455,"-573.036.113,00"
02/10/2025,49.601.501,"1.640.325.909,90",59.381.973,"2.079.295.681,30",-9.780.472,"-438.969.771,40"
02/07/2025,54.296.467,"1.677.617.671,10",60.433.158,"2.783.469.330,27",-6.136.691,"-1.105.851.659,17"
02/06/2025,38.636.412,"1.187.164.655,90",46.776.731,"1.472.640.663,74",-8.140.319,"-285.476.007,84"
02/05/2025,46.483.306,"1.713.908.156,60",59.990.546,"2.090.202.460,95",-13.507.240,"-376.294.304,35"
02/04/2025,43.561.625,"1.383.042.719,80",61.272.963,"2.331.700.853,58",-17.711.338,"-948.658.133,78"
02/03/2025,48.585.274,"1.692.534.804,70",79.847.453,"3.121.077.328,93",-31.262.179,"-1.428.542.524,23"
01/24/2025,71.526.787,"2.243.768.059,50",45.451.033,"1.609.502.131,84",26.075.754,"634.265.927,66"
01/23/2025,52.014.423,"1.570.702.814,35",41.820.379,"1.446.765.708,83",10.194.044,"123.937.105,52"
01/22/2025,23.094.161,"876.360.156,25",33.386.355,"1.137.476.597,97",-10.292.194,"-261.116.441,72"
01/21/2025,46.750.603,"1.461.812.646,37",48.484.290,"1.605.800.833,98",-1.733.687,"-143.988.187,61"
01/20/2025,27.130.766,"781.707.946,58",31.513.566,"1.021.359.209,42",-4.382.800,"-239.651.262,84"
01/17/2025,56.638.596,"1.707.821.401,20",63.804.885,"2.177.704.783,82",-7.166.289,"-469.883.382,62"
01/16/2025,27.045.616,"974.357.387,45",110.893.686,"4.084.994.202,82",-83.848.070,"-3.110.636.815,37"
01/15/2025,31.099.556,"892.932.492,62",35.749.452,"1.308.882.910,60",-4.649.896,"-415.950.417,98"
01/14/2025,19.879.334,"677.106.714,00",38.836.501,"1.312.599.943,79",-18.957.167,"-635.493.229,79"
01/13/2025,42.265.982,"1.354.180.241,70",35.147.676,"1.375.438.907,38",7.118.306,"-21.258.665,68"
01/10/2025,24.463.993,"890.030.447,07",33.412.014,"1.131.151.259,00",-8.948.021,"-241.120.811,93"
01/09/2025,19.719.072,"636.108.957,90",34.072.426,"1.084.009.560,04",-14.353.354,"-447.900.602,14"
01/08/2025,34.512.315,"1.060.948.453,40",36.638.954,"1.498.229.304,50",-2.126.639,"-437.280.851,10"
01/07/2025,35.132.526,"1.385.512.466,82",41.471.804,"1.469.297.625,10",-6.339.278,"-83.785.158,28"
01/06/2025,32.826.911,"1.252.412.030,30",30.853.442,"1.142.816.646,00",1.973.469,"109.595.384,30"
01/03/2025,30.492.388,"1.159.483.962,17",56.795.329,"1.908.950.873,54",-26.302.941,"-749.466.911,37"
01/02/2025,31.416.340,"1.069.673.826,29",32.994.820,"1.184.208.489,85",-1.578.480,"-114.534.663,56"
12/31/2024,19.942.067,"881.487.533,35",33.479.575,"1.186.069.501,70",-13.537.508,"-304.581.968,35"
12/30/2024,44.941.450,"1.440.591.944,65",36.277.730,"1.090.535.366,50",8.663.720,"350.056.578,15"
12/27/2024,55.274.611,"1.796.223.788,25",33.956.078,"1.168.013.673,35",21.318.533,"628.210.114,90"
12/26/2024,39.522.384,"1.274.559.891,79",42.388.451,"1.644.879.644,90",-2.866.067,"-370.319.753,11"
12/25/2024,50.366.411,"1.478.133.085,95",33.833.413,"1.252.231.442,17",16.532.998,"225.901.643,78"
12/24/2024,45.368.913,"1.698.822.721,05",43.398.144,"1.646.031.101,45",1.970.769,"52.791.619,60"
12/23/2024,38.137.339,"1.210.218.550,60",42.696.680,"1.505.143.343,30",-4.559.341,"-294.924.792,70"
12/20/2024,72.301.093,"2.417.273.233,70",80.744.262,"2.378.806.449,36",-8.443.169,"38.466.784,34"
12/19/2024,35.555.148,"1.392.732.315,65",58.919.501,"1.826.991.740,40",-23.364.353,"-434.259.424,75"
12/18/2024,31.044.372,"1.034.210.374,15",32.367.054,"1.035.436.666,10",-1.322.682,"-1.226.291,95"
12/17/2024,30.249.530,"1.184.019.438,25",43.424.224,"1.852.993.375,59",-13.174.694,"-668.973.937,35"
12/16/2024,35.317.509,"1.235.426.498,60",42.667.266,"1.437.016.732,70",-7.349.757,"-201.590.234,10"
12/13/2024,36.088.334,"1.329.262.363,05",37.959.143,"1.342.513.195,80",-1.870.809,"-13.250.832,75"
12/12/2024,28.492.738,"1.092.243.269,60",34.639.225,"1.377.494.650,71",-6.146.487,"-285.251.381,11"
12/11/2024,41.695.916,"1.428.793.133,90",51.853.119,"1.617.831.202,50",-10.157.203,"-189.038.068,60"
12/10/2024,29.233.084,"1.016.144.721,95",36.774.646,"1.134.493.082,46",-7.541.562,"-118.348.360,51"
12/09/2024,33.069.490,"976.448.369,70",33.716.096,"1.424.440.122,48",-646.606,"-447.991.752,78"
12/06/2024,71.035.586,"2.353.045.812,37",52.088.869,"1.977.347.041,98",18.946.717,"375.698.770,40"
12/05/2024,63.757.090,"1.959.622.738,90",32.976.968,"1.261.377.324,20",30.780.122,"698.245.414,70"
12/04/2024,27.118.154,"996.184.356,20",45.343.842,"1.658.082.202,25",-18.225.688,"-661.897.846,05"
12/03/2024,34.656.984,"1.225.579.633,00",41.798.364,"1.462.604.252,25",-7.141.380,"-237.024.619,25"
12/02/2024,39.554.435,"1.497.834.886,65",46.428.335,"1.806.705.394,20",-6.873.900,"-308.870.507,55"
11/29/2024,38.034.334,"1.779.892.046,85",40.347.116,"1.457.210.416,45",-2.312.782,"322.681.630,40"
11/28/2024,28.315.793,"1.132.686.017,10",35.333.166,"1.101.991.782,55",-7.017.373,"30.694.234,55"
11/27/2024,31.758.176,"1.649.313.834,15",38.036.270,"1.307.619.043,05",-6.278.094,"341.694.791,10"
11/26/2024,45.996.440,"1.476.345.249,00",34.317.897,"1.261.439.672,82",11.678.543,"214.905.576,18"
11/25/2024,52.358.015,"1.635.650.396,10",47.605.413,"1.610.027.529,16",4.752.602,"25.622.866,94"
11/22/2024,44.489.441,"1.535.614.132,05",46.033.606,"1.502.384.420,05",-1.544.165,"33.229.712,00"
11/21/2024,43.743.757,"1.444.680.519,70",66.345.287,"2.287.776.208,85",-22.601.530,"-843.095.689,15"
11/20/2024,56.960.043,"1.815.260.847,50",97.482.861,"3.035.565.265,95",-40.522.818,"-1.220.304.418,45"
11/19/2024,28.932.386,"1.094.892.091,80",78.379.583,"2.773.931.575,90",-49.447.197,"-1.679.039.484,10"
11/18/2024,44.762.949,"1.380.538.948,10",87.732.638,"2.851.430.704,60",-42.969.689,"-1.470.891.756,50"
11/15/2024,69.184.768,"2.010.039.195,45",101.508.633,"3.347.882.068,56",-32.323.865,"-1.337.842.873,11"
11/14/2024,40.924.470,"1.228.009.002,75",102.046.679,"2.491.136.897,65",-61.122.209,"-1.263.127.894,90"
11/13/2024,48.825.852,"1.490.779.454,25",56.859.677,"1.649.806.380,37",-8.033.825,"-159.026.926,12"
11/12/2024,27.729.431,"954.943.496,50",47.109.585,"1.551.785.008,71",-19.380.154,"-596.841.512,21"
11/11/2024,25.830.208,"889.339.335,30",53.449.517,"1.856.715.309,05",-27.619.309,"-967.375.973,75"
11/08/2024,24.870.834,"827.827.265,70",60.640.433,"1.966.172.067,60",-35.769.599,"-1.138.344.801,90"
11/07/2024,46.482.436,"1.435.734.723,30",55.277.560,"1.844.083.156,05",-8.795.124,"-408.348.432,75"
11/06/2024,34.511.888,"1.003.753.769,90",39.498.480,"1.381.336.202,79",-4.986.592,"-377.582.432,89"
11/05/2024,27.273.486,"907.186.127,40",45.486.136,"1.740.815.749,93",-18.212.650,"-833.629.622,53"
11/04/2024,40.244.688,"1.333.922.916,60",56.262.781,"1.936.979.061,40",-16.018.093,"-603.056.144,80"
11/01/2024,50.157.862,"1.595.236.329,85",48.743.276,"1.890.022.726,30",1.414.586,"-294.786.396,45"
10/31/2024,102.795.738,"5.742.005.497,20",125.737.083,"7.367.800.028,60",-22.941.345,"-1.625.794.531,40"
10/30/2024,50.925.755,"1.526.948.631,70",49.792.906,"1.654.518.781,73",1.132.849,"-127.570.150,03"
10/29/2024,53.648.665,"1.667.485.943,00",338.982.140,"6.802.400.325,55",-285.333.475,"-5.134.914.382,55"
10/28/2024,28.199.547,"908.091.814,60",40.623.779,"1.402.822.907,26",-12.424.232,"-494.731.092,66"
10/25/2024,30.188.422,"992.710.164,05",39.723.562,"1.424.942.563,40",-9.535.140,"-432.232.399,35"
10/24/2024,39.813.095,"1.339.034.483,75",48.943.737,"1.526.244.064,15",-9.130.642,"-187.209.580,40"
10/23/2024,35.570.422,"1.109.661.918,20",35.549.395,"1.103.544.857,80",21.027,"6.117.060,40"
10/22/2024,40.230.548,"1.369.094.610,75",49.017.812,"1.496.925.039,85",-8.787.264,"-127.830.429,10"
10/21/2024,34.299.231,"1.174.028.632,80",42.574.355,"1.456.624.848,35",-8.275.124,"-282.596.215,55"
10/18/2024,28.827.685,"875.114.488,20",32.727.984,"1.036.430.842,85",-3.900.299,"-161.316.354,65"
10/17/2024,50.281.832,"1.325.866.934,80",64.692.226,"1.740.633.512,10",-14.410.394,"-414.766.577,30"
10/16/2024,34.855.700,"1.149.630.631,00",41.294.788,"1.393.193.135,30",-6.439.088,"-243.562.504,30"
10/15/2024,31.462.563,"1.129.833.403,15",49.100.010,"1.665.895.636,35",-17.637.447,"-536.062.233,20"
10/14/2024,27.763.087,"1.017.583.469,40",46.224.457,"1.626.488.390,20",-18.461.370,"-608.904.920,80"
10/11/2024,46.868.375,"1.496.295.445,50",59.274.259,"1.808.830.469,80",-12.405.884,"-312.535.024,30"
10/10/2024,49.443.044,"2.114.645.790,03",47.174.680,"1.609.676.435,30",2.268.364,"504.969.354,73"
10/09/2024,64.655.009,"2.229.972.997,85",69.621.395,"2.294.881.963,45",-4.966.386,"-64.908.965,60"
10/08/2024,45.379.698,"1.437.358.532,15",44.782.810,"1.566.612.659,89",596.888,"-129.254.127,74"
10/07/2024,24.140.645,"830.620.445,60",41.554.908,"1.182.261.337,05",-17.414.263,"-351.640.891,45"
10/04/2024,30.861.071,"946.952.741,45",47.996.641,"1.522.806.681,43",-17.135.570,"-575.853.939,98"
10/03/2024,53.962.044,"1.725.560.958,20",45.562.497,"1.161.652.907,25",8.399.547,"563.908.050,95"
10/02/2024,38.008.058,"1.344.501.586,70",36.522.787,"1.074.179.055,65",1.485.271,"270.322.531,05"
10/01/2024,54.971.510,"1.870.223.170,30",39.428.201,"1.183.588.141,75",15.543.309,"686.635.028,55"
09/30/2024,37.962.269,"1.391.643.200,00",57.959.102,"1.840.470.245,15",-19.996.833,"-448.827.045,15"
09/27/2024,69.429.893,"2.028.490.266,71",62.320.447,"1.755.636.855,90",7.109.446,"272.853.410,81"
09/26/2024,81.219.842,"2.524.482.842,20",52.925.443,"1.536.308.534,45",28.294.399,"988.174.307,75"
09/25/2024,74.433.955,"2.275.813.294,85",56.084.507,"1.766.862.043,00",18.349.448,"508.951.251,85"
09/24/2024,50.396.872,"1.386.351.101,70",190.859.307,"3.827.354.155,20",-140.462.435,"-2.441.003.053,50"
09/23/2024,40.915.774,"1.405.157.018,85",40.622.936,"1.218.000.425,85",292.838,"187.156.593,00"
09/20/2024,95.662.919,"2.880.019.919,60",111.343.613,"3.198.811.894,41",-15.680.694,"-318.791.974,81"
09/19/2024,53.692.885,"1.750.270.949,65",41.042.122,"1.257.541.227,11",12.650.763,"492.729.722,54"
09/18/2024,51.642.009,"1.903.902.765,50",42.329.505,"1.531.070.388,24",9.312.504,"372.832.377,26"
09/17/2024,43.257.484,"1.464.826.354,25",26.014.582,"941.530.183,74",17.242.902,"523.296.170,51"
09/16/2024,34.575.102,"1.219.958.615,60",32.426.025,"1.033.770.798,53",2.149.077,"186.187.817,07"
09/13/2024,43.179.818,"1.453.136.625,35",41.990.495,"1.529.813.351,30",1.189.323,"-76.676.725,95"
09/12/2024,38.439.490,"1.424.241.764,50",49.108.224,"1.607.339.911,05",-10.668.734,"-183.098.146,55"
09/11/2024,40.103.179,"1.546.291.884,70",44.271.525,"1.529.419.537,10",-4.168.346,"16.872.347,60"
09/10/2024,31.854.636,"1.369.419.963,45",52.724.507,"1.777.500.446,75",-20.869.871,"-408.080.483,30"
09/09/2024,34.512.969,"1.158.819.642,85",47.396.923,"1.624.404.288,25",-12.883.954,"-465.584.645,40"
09/06/2024,92.792.156,"2.887.425.108,35",87.933.331,"2.630.366.813,80",4.858.825,"257.058.294,55"
09/05/2024,90.049.056,"2.720.142.285,56",112.721.277,"3.404.886.170,37",-22.672.221,"-684.743.884,81"
09/04/2024,44.699.330,"1.569.400.587,40",69.113.427,"2.320.230.548,13",-24.414.097,"-750.829.960,73"
08/30/2024,44.163.338,"1.541.939.066,30",49.129.195,"1.476.113.512,45",-4.965.857,"65.825.553,85"
08/29/2024,42.566.288,"1.754.982.628,20",59.313.772,"1.854.316.701,85",-16.747.484,"-99.334.073,65"
08/28/2024,39.076.849,"1.379.570.086,90",53.565.586,"1.505.137.631,10",-14.488.737,"-125.567.544,20"
08/27/2024,31.721.700,"1.207.876.020,00",49.482.784,"1.444.632.519,42",-17.761.084,"-236.756.499,42"
08/26/2024,38.997.005,"1.343.408.557,30",62.959.359,"1.728.786.643,20",-23.962.354,"-385.378.085,90"
08/23/2024,42.860.802,"1.534.957.168,50",55.639.474,"1.594.826.369,33",-12.778.672,"-59.869.200,83"
08/22/2024,42.090.137,"1.645.561.308,05",71.590.203,"2.117.422.618,26",-29.500.066,"-471.861.310,21"
08/21/2024,54.947.421,"2.030.614.225,65",77.455.982,"2.230.111.094,60",-22.508.561,"-199.496.868,95"
08/20/2024,56.807.300,"1.803.784.230,05",46.572.032,"1.461.822.228,66",10.235.268,"341.962.001,39"
08/19/2024,31.550.659,"1.150.779.387,30",44.214.728,"1.439.591.405,30",-12.664.069,"-288.812.018,00"
08/16/2024,65.494.784,"2.085.592.497,60",66.014.877,"2.149.235.825,05",-520.093,"-63.643.327,45"
08/15/2024,49.328.630,"1.608.739.501,70",50.859.901,"1.495.938.638,50",-1.531.271,"112.800.863,20"
08/14/2024,54.014.192,"2.192.504.285,15",45.351.606,"1.500.706.991,65",8.662.586,"691.797.293,50"
08/13/2024,51.312.926,"1.869.747.759,30",47.635.689,"1.551.086.356,77",3.677.237,"318.661.402,53"
08/12/2024,42.235.694,"1.557.654.640,15",39.642.032,"1.528.233.382,17",2.593.662,"29.421.257,98"
08/09/2024,46.197.352,"1.803.112.587,00",47.558.496,"1.762.268.266,00",-1.361.144,"40.844.321,00"
08/08/2024,49.390.865,"1.702.423.233,00",88.523.257,"2.898.269.660,50",-39.132.392,"-1.195.846.427,50"
08/07/2024,38.906.590,"1.416.428.176,30",91.994.793,"2.757.359.323,85",-53.088.203,"-1.340.931.147,55"
08/06/2024,57.351.199,"2.045.120.266,95",75.328.843,"2.771.385.831,08",-17.977.644,"-726.265.564,13"
08/05/2024,53.422.742,"1.967.104.793,15",89.252.136,"2.645.463.380,14",-35.829.394,"-678.358.586,99"
08/02/2024,61.662.260,"2.055.660.888,40",47.100.862,"1.281.823.160,24",14.561.398,"773.837.728,16"
08/01/2024,66.404.386,"2.441.785.584,30",82.256.447,"2.375.868.573,01",-15.852.061,"65.917.011,29"
07/31/2024,45.987.901,"1.946.438.411,30",75.857.277,"2.608.327.021,23",-29.869.376,"-661.888.609,93"
07/30/2024,38.510.278,"1.256.170.236,65",55.822.398,"1.568.095.423,16",-17.312.120,"-311.925.186,51"
07/29/2024,23.791.644,"857.085.003,00",32.353.018,"1.100.314.247,40",-8.561.374,"-243.229.244,40"
07/26/2024,41.017.798,"1.916.058.438,45",41.294.212,"1.541.763.458,14",-276.414,"374.294.980,31"
07/25/2024,48.804.805,"1.641.078.962,80",66.151.711,"2.113.139.244,35",-17.346.906,"-472.060.281,55"
07/24/2024,76.895.996,"2.165.580.721,30",58.983.883,"1.940.609.402,85",17.912.113,"224.971.318,45"
07/23/2024,42.448.642,"1.523.071.442,35",53.403.321,"1.654.907.253,75",-10.954.679,"-131.835.811,40"
07/22/2024,80.134.515,"2.002.684.652,50",53.295.129,"1.621.237.503,15",26.839.386,"381.447.149,35"
07/19/2024,69.339.846,"1.684.220.265,60",62.149.737,"2.035.137.927,85",7.190.109,"-350.917.662,25"
07/18/2024,109.139.461,"3.410.959.661,72",66.558.724,"2.494.045.511,94",42.580.737,"916.914.149,78"
07/17/2024,71.821.660,"2.643.335.250,45",69.337.343,"2.127.416.755,90",2.484.317,"515.918.494,55"
07/16/2024,38.635.231,"1.433.130.395,60",51.398.268,"1.675.094.698,24",-12.763.037,"-241.964.302,64"
07/15/2024,36.226.871,"1.225.703.879,15",83.626.573,"2.846.012.660,30",-47.399.702,"-1.620.308.781,15"
07/12/2024,31.939.631,"1.008.295.094,60",54.732.675,"1.924.326.960,15",-22.793.044,"-916.031.865,55"
07/11/2024,73.146.965,"2.378.420.848,50",59.464.517,"2.365.912.898,05",13.682.448,"12.507.950,45"
07/10/2024,70.152.732,"3.854.334.113,75",87.245.168,"4.872.036.195,61",-17.092.436,"-1.017.702.081,86"
07/09/2024,82.354.394,"2.502.065.101,60",72.226.814,"2.961.415.220,37",10.127.580,"-459.350.118,77"
07/08/2024,45.764.537,"1.607.150.571,20",114.237.934,"3.866.393.203,85",-68.473.397,"-2.259.242.632,65"
07/05/2024,44.076.949,"1.542.354.549,15",55.856.844,"1.921.504.065,10",-11.779.895,"-379.149.515,95"
07/04/2024,28.630.610,"988.143.473,00",46.784.618,"1.569.949.630,40",-18.154.008,"-581.806.157,40"
07/03/2024,36.496.216,"1.283.799.230,30",57.292.532,"1.843.083.012,10",-20.796.316,"-559.283.781,80"
07/02/2024,42.490.657,"1.638.110.005,35",44.803.203,"1.686.736.446,65",-2.312.546,"-48.626.441,30"
07/01/2024,41.138.036,"1.282.570.006,65",57.917.521,"2.072.767.005,05",-16.779.485,"-790.196.998,40"
06/28/2024,58.855.364,"1.749.442.259,80",90.242.111,"2.846.740.765,05",-31.386.747,"-1.097.298.505,25"
06/27/2024,96.960.218,"2.379.232.962,90",140.868.728,"3.509.137.316,05",-43.908.510,"-1.129.904.353,15"
06/26/2024,94.395.532,"2.504.370.914,10",88.923.960,"2.811.786.497,70",5.471.572,"-307.415.583,60"
06/25/2024,98.513.139,"2.741.102.193,30",95.231.476,"3.236.051.656,95",3.281.663,"-494.949.463,65"
06/24/2024,85.772.581,"2.386.328.550,05",86.174.205,"3.098.416.525,66",-401.624,"-712.087.975,61"
06/21/2024,85.774.872,"2.372.833.691,45",116.040.050,"3.323.567.779,38",-30.265.178,"-950.734.087,93"
06/20/2024,58.755.719,"1.593.924.444,35",82.030.584,"2.573.162.689,00",-23.274.865,"-979.238.244,65"
06/19/2024,39.674.698,"1.391.729.162,90",84.766.924,"2.888.205.988,85",-45.092.226,"-1.496.476.825,95"
06/18/2024,39.839.950,"1.369.698.935,10",49.230.094,"1.976.254.082,20",-9.390.144,"-606.555.147,10"
06/17/2024,47.797.141,"1.603.133.448,50",71.187.568,"2.399.073.966,37",-23.390.427,"-795.940.517,87"
06/14/2024,49.301.719,"1.896.733.028,35",67.069.160,"2.487.179.244,98",-17.767.441,"-590.446.216,63"
06/13/2024,48.849.783,"1.602.098.585,55",74.698.377,"3.000.250.947,80",-25.848.594,"-1.398.152.362,25"
