Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
02/24/2025,46.092.130,"1.534.708.104,85",48.812.761,"1.828.061.268,80",5.203.200,"259.710.169,50",4.341.800,"216.652.272,70"
02/21/2025,40.895.545,"1.155.588.299,60",35.138.809,"1.233.674.592,36",4.959.800,"101.272.105,40",7.041.200,"222.176.565,40"
02/20/2025,42.706.176,"1.059.181.745,25",46.345.275,"1.375.218.125,98",9.577.900,"264.398.896,70",7.147.900,"296.532.066,70"
02/19/2025,59.276.494,"1.566.997.507,80",39.250.454,"1.207.278.954,79",13.677.900,"377.102.522,00",9.170.115,"322.320.460,20"
02/18/2025,43.355.193,"1.170.497.588,55",41.710.386,"1.331.458.545,74",7.060.600,"149.623.283,00",5.060.630,"135.931.194,50"
02/17/2025,48.671.418,"1.090.980.935,50",49.353.930,"1.646.536.791,69",2.957.600,"79.252.836,40",3.991.900,"85.192.602,00"
02/14/2025,47.382.510,"1.354.313.600,00",42.505.201,"1.616.751.723,60",5.702.300,"125.729.586,00",1.795.000,"39.132.846,00"
02/13/2025,29.824.553,"906.553.319,10",38.011.683,"1.221.613.513,50",5.751.200,"160.567.105,60",1.388.200,"85.709.955,30"
02/12/2025,23.242.340,"787.141.644,20",37.826.140,"1.219.153.220,09",3.044.700,"106.847.812,40",3.329.705,"100.563.618,65"
02/11/2025,38.504.979,"1.251.124.482,80",50.433.419,"1.817.605.012,80",6.768.200,"195.984.096,40",6.998.215,"202.539.679,40"
02/10/2025,36.397.401,"1.369.383.890,60",53.028.573,"1.894.470.984,00",13.204.100,"270.942.019,30",6.353.400,"184.824.697,30"
02/07/2025,34.707.867,"1.318.462.577,10",43.794.658,"1.689.795.614,47",19.588.600,"359.155.094,00",16.638.500,"1.093.673.715,80"
02/06/2025,33.449.712,"1.048.186.165,90",40.938.431,"1.326.049.863,74",5.186.700,"138.978.490,00",5.838.300,"146.590.800,00"
02/05/2025,43.502.106,"1.604.115.547,90",56.176.946,"1.979.421.329,85",2.981.200,"109.792.608,70",3.813.600,"110.781.131,10"
02/04/2025,39.241.725,"1.169.952.924,00",47.328.063,"1.801.741.952,78",4.319.900,"213.089.795,80",13.944.900,"529.958.900,80"
02/03/2025,32.661.574,"1.206.636.594,20",63.823.748,"2.634.499.039,68",15.923.700,"485.898.210,50",16.023.705,"486.578.289,25"
01/24/2025,54.954.337,"1.736.397.435,70",29.913.563,"1.146.455.452,04",16.572.450,"507.370.623,80",15.537.470,"463.046.679,80"
01/23/2025,46.606.423,"1.420.355.334,85",35.902.379,"1.267.509.639,33",5.408.000,"150.347.479,50",5.918.000,"179.256.069,50"
01/22/2025,20.865.761,"826.112.915,35",30.307.955,"1.044.489.357,07",2.228.400,"50.247.240,90",3.078.400,"92.987.240,90"
01/21/2025,32.084.135,"977.653.001,97",33.797.822,"1.117.869.189,58",14.666.468,"484.159.644,40",14.686.468,"487.931.644,40"
01/20/2025,25.650.966,"746.173.055,38",29.749.066,"963.626.996,22",1.479.800,"35.534.891,20",1.764.500,"57.732.213,20"
01/17/2025,26.777.678,"821.044.686,25",33.843.967,"1.276.104.368,87",29.860.918,"886.776.714,95",29.960.918,"901.600.414,95"
01/16/2025,20.319.816,"733.140.173,45",53.307.933,"1.786.491.889,97",6.725.800,"241.217.214,00",57.585.753,"2.298.502.312,85"
01/15/2025,21.501.456,"592.785.031,02",26.151.282,"1.008.733.913,27",9.598.100,"300.147.461,60",9.598.170,"300.148.997,33"
01/14/2025,14.339.634,"501.869.216,90",33.557.791,"1.142.582.295,69",5.539.700,"175.237.497,10",5.278.710,"170.017.648,10"
01/13/2025,36.955.282,"962.591.918,30",29.750.161,"983.270.530,48",5.310.700,"391.588.323,40",5.397.515,"392.168.376,90"
01/10/2025,22.217.193,"804.972.003,07",31.165.214,"1.046.092.815,00",2.246.800,"85.058.444,00",2.246.800,"85.058.444,00"
01/09/2025,13.349.572,"460.814.776,50",27.902.916,"913.515.219,64",6.369.500,"175.294.181,40",6.169.510,"170.494.340,40"
01/08/2025,29.239.650,"888.638.908,40",31.196.249,"1.319.102.129,50",5.272.665,"172.309.545,00",5.442.705,"179.127.175,00"
