Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
02/24/2025,"861.400,00","43.057.896,80"
02/21/2025,"-2.081.400,00","-120.904.460,00"
02/20/2025,"2.430.000,00","-32.133.170,00"
02/19/2025,"4.507.785,00","54.782.061,80"
02/18/2025,"1.999.970,00","13.692.088,50"
02/17/2025,"-1.034.300,00","-5.939.765,60"
02/14/2025,"3.907.300,00","86.596.740,00"
02/13/2025,"4.363.000,00","74.857.150,30"
02/12/2025,"-285.005,00","6.284.193,75"
02/11/2025,"-230.015,00","-6.555.583,00"
02/10/2025,"6.850.700,00","86.117.322,00"
02/07/2025,"2.950.100,00","-734.518.621,80"
02/06/2025,"-651.600,00","-7.612.310,00"
02/05/2025,"-832.400,00","-988.522,40"
02/04/2025,"-9.625.000,00","-316.869.105,00"
02/03/2025,"-100.005,00","-680.078,75"
01/24/2025,"1.034.980,00","44.323.944,00"
01/23/2025,"-510.000,00","-28.908.590,00"
01/22/2025,"-850.000,00","-42.740.000,00"
01/21/2025,"-20.000,00","-3.772.000,00"
01/20/2025,"-284.700,00","-22.197.322,00"
01/17/2025,"-100.000,00","-14.823.700,00"
01/16/2025,"-50.859.953,00","-2.057.285.098,85"
01/15/2025,"-70,00","-1.535,73"
01/14/2025,"260.990,00","5.219.849,00"
01/13/2025,"-86.815,00","-580.053,50"
01/10/2025,"0,00","0,00"
01/09/2025,"199.990,00","4.799.841,00"
01/08/2025,"-170.040,00","-6.817.630,00"
01/07/2025,"0,00","0,00"
01/06/2025,"-963.905,00","-9.946.725,40"
01/03/2025,"-1.134.000,00","-26.705.080,00"
01/02/2025,"0,00","0,00"
12/31/2024,"386.000,00","16.214.850,00"
12/30/2024,"1.069.995,00","18.992.425,25"
12/27/2024,"811.995,00","30.982.055,75"
12/26/2024,"-170.000,00","-2.017.730,00"
12/25/2024,"3.590.236,00","131.419.523,05"
12/24/2024,"-1.200.015,00","-23.868.219,75"
12/23/2024,"-2.985.700,00","-110.988.591,50"
12/20/2024,"3.708.462,00","87.215.604,95"
12/19/2024,"-97,00","-2.347,40"
12/18/2024,"1.549.990,00","44.744.908,00"
12/17/2024,"56.295,00","3.455.835,90"
12/16/2024,"-1.779.305,00","-52.929.139,50"
12/13/2024,"4.806.990,00","98.289.821,00"
12/12/2024,"-160.005,00","-9.703.076,00"
12/11/2024,"-1.935.200,00","33.388.615,80"
12/10/2024,"3.715.710,00","83.241.019,00"
12/09/2024,"-2.240.000,00","-149.840.000,00"
12/06/2024,"-190.000,00","-1.441.720,00"
12/05/2024,"-253.000,00","-10.636.803,00"
12/04/2024,"-509.905,00","-7.505.325,00"
12/03/2024,"-150.000,00","-1.152.000,00"
12/02/2024,"-195.705,00","4.109.751,25"
11/29/2024,"3.299.990,00","103.034.853,50"
11/28/2024,"-1.456.405,00","15.052.187,50"
11/27/2024,"-1.770.010,00","64.099.853,00"
11/26/2024,"-2.146.610,00","-161.453.516,40"
11/25/2024,"-930.000,00","-133.784.000,00"
11/22/2024,"9.922.200,00","271.243.800,00"
