Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
02/24/2025,56.974.527,"1.655.782.025,57",60.105.041,"1.805.575.775,23",-3.130.514,"-149.793.749,66"
02/21/2025,36.008.498,"1.043.380.384,73",53.189.066,"1.333.235.189,49",-17.180.568,"-289.854.804,76"
02/20/2025,54.084.989,"1.578.091.685,02",53.083.832,"1.581.635.563,69",1.001.157,"-3.543.878,67"
02/19/2025,61.664.254,"1.624.710.213,70",53.932.825,"1.399.885.556,22",7.731.429,"224.824.657,48"
02/18/2025,47.462.402,"1.192.618.766,67",39.118.071,"1.018.688.673,14",8.344.331,"173.930.093,53"
02/17/2025,53.638.044,"1.313.903.127,53",32.288.762,"933.850.882,33",21.349.282,"380.052.245,20"
02/14/2025,52.451.343,"1.409.932.861,39",36.346.404,"1.094.185.007,62",16.104.939,"315.747.853,77"
02/13/2025,38.093.274,"1.068.185.534,60",30.787.375,"904.813.520,32",7.305.899,"163.372.014,28"
02/12/2025,32.654.753,"921.001.332,28",27.830.629,"866.715.026,40",4.824.124,"54.286.305,88"
02/11/2025,34.016.457,"975.800.644,20",27.550.819,"846.610.601,57",6.465.638,"129.190.042,63"
02/10/2025,42.127.391,"1.337.280.386,32",62.859.110,"1.783.430.240,73",-20.731.719,"-446.149.854,41"
02/07/2025,42.851.620,"1.229.606.578,56",49.525.392,"1.228.043.398,50",-6.673.772,"1.563.180,06"
02/06/2025,52.347.111,"1.459.043.511,56",48.279.595,"1.465.591.700,39",4.067.516,"-6.548.188,83"
02/05/2025,69.250.528,"1.749.610.082,66",41.105.305,"1.162.727.267,45",28.145.223,"586.882.815,21"
02/04/2025,60.295.832,"1.597.867.615,34",72.560.142,"2.035.166.573,73",-12.264.310,"-437.298.958,39"
02/03/2025,31.301.944,"1.140.924.512,03",57.719.746,"1.723.550.177,88",-26.417.802,"-582.625.665,85"
01/24/2025,71.369.766,"2.049.657.969,26",42.354.111,"1.261.950.361,68",29.015.655,"787.707.607,58"
01/23/2025,70.982.167,"2.219.015.001,60",43.966.790,"1.339.554.942,62",27.015.377,"879.460.058,98"
01/22/2025,45.051.500,"1.196.333.698,00",25.278.641,"742.412.480,67",19.772.859,"453.921.217,33"
01/21/2025,37.913.680,"1.176.088.451,35",35.109.202,"941.422.087,98",2.804.478,"234.666.363,37"
01/20/2025,30.464.565,"818.944.509,43",21.507.805,"850.589.284,78",8.956.760,"-31.644.775,35"
01/17/2025,54.547.381,"1.566.213.488,52",34.238.505,"786.274.035,28",20.308.876,"779.939.453,24"
01/16/2025,40.561.645,"1.222.290.772,50",60.369.184,"1.741.077.565,22",-19.807.539,"-518.786.792,72"
01/15/2025,46.501.303,"1.141.812.470,64",42.521.655,"1.202.249.500,64",3.979.648,"-60.437.030,00"
01/14/2025,38.451.670,"1.102.717.228,45",43.336.385,"1.111.010.868,48",-4.884.715,"-8.293.640,03"
01/13/2025,71.945.663,"2.311.095.521,87",38.584.025,"1.160.889.875,76",33.361.638,"1.150.205.646,11"
01/10/2025,43.370.692,"1.372.883.388,78",43.564.039,"1.206.385.912,24",-193.347,"166.497.476,54"
01/09/2025,19.978.539,"601.215.059,80",27.977.995,"673.980.950,68",-7.999.456,"-72.765.890,88"
01/08/2025,74.468.108,"1.995.993.113,40",41.556.448,"1.034.847.629,02",32.911.660,"961.145.484,38"
01/07/2025,48.085.698,"1.512.268.253,72",51.666.719,"1.428.161.186,88",-3.581.021,"84.107.066,84"
01/06/2025,54.834.476,"1.750.084.848,20",41.430.869,"1.157.262.017,06",13.403.607,"592.822.831,14"
