Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
02/24/2025,41.875.927,"1.288.846.602,37",39.209.340,"1.278.725.541,81",15.098.600,"366.935.423,20",20.895.701,"526.850.233,42"
02/21/2025,30.006.498,"874.218.776,73",43.028.224,"1.128.526.387,19",6.002.000,"169.161.608,00",10.160.842,"204.708.802,30"
02/20/2025,51.558.989,"1.470.153.115,02",43.990.637,"1.308.796.147,56",2.526.000,"107.938.570,00",9.093.195,"272.839.416,13"
02/19/2025,47.302.854,"1.258.423.123,70",37.596.411,"1.098.195.652,17",14.361.400,"366.287.090,00",16.336.414,"301.689.904,05"
02/18/2025,44.064.402,"1.132.716.046,67",34.408.539,"955.392.825,90",3.398.000,"59.902.720,00",4.709.532,"63.295.847,24"
02/17/2025,50.751.044,"1.258.466.177,53",28.374.561,"831.845.075,43",2.887.000,"55.436.950,00",3.914.201,"102.005.806,90"
02/14/2025,46.268.343,"1.275.454.781,39",27.288.463,"831.546.108,55",6.183.000,"134.478.080,00",9.057.941,"262.638.899,07"
02/13/2025,35.887.452,"1.011.518.554,60",25.910.250,"817.311.324,52",2.205.822,"56.666.980,00",4.877.125,"87.502.195,80"
02/12/2025,29.735.753,"815.622.942,28",25.120.411,"759.008.313,20",2.919.000,"105.378.390,00",2.710.218,"107.706.713,20"
02/11/2025,29.127.757,"770.614.824,20",27.027.625,"829.885.745,74",4.888.700,"205.185.820,00",523.194,"16.724.855,83"
02/10/2025,42.127.391,"1.337.280.386,32",53.562.939,"1.636.073.573,72",0,"0,00",9.296.171,"147.356.667,01"
02/07/2025,42.298.620,"1.206.296.778,56",31.893.626,"970.042.697,40",553.000,"23.309.800,00",17.631.766,"258.000.701,10"
02/06/2025,45.927.111,"1.288.352.211,56",41.511.174,"1.228.172.838,61",6.420.000,"170.691.300,00",6.768.421,"237.418.861,78"
02/05/2025,45.220.028,"1.146.570.812,66",23.513.668,"665.645.808,52",24.030.500,"603.039.270,00",17.591.637,"497.081.458,93"
02/04/2025,31.166.132,"838.254.685,34",49.260.640,"1.437.314.874,68",29.129.700,"759.612.930,00",23.299.502,"597.851.699,05"
02/03/2025,27.187.944,"993.698.312,03",47.390.539,"1.441.380.816,43",4.114.000,"147.226.200,00",10.329.207,"282.169.361,45"
01/24/2025,63.315.766,"1.894.028.169,26",38.869.063,"1.170.219.805,78",8.054.000,"155.629.800,00",3.485.048,"91.730.555,90"
01/23/2025,69.408.967,"2.146.278.011,60",39.357.514,"1.191.924.458,67",1.573.200,"72.736.990,00",4.609.276,"147.630.483,95"
01/22/2025,41.201.500,"1.125.993.698,00",20.805.551,"675.877.824,02",3.850.000,"70.340.000,00",4.473.090,"66.534.656,65"
01/21/2025,30.258.680,"960.894.951,35",19.394.029,"609.961.579,48",7.655.000,"215.193.500,00",15.715.173,"331.460.508,50"
01/20/2025,25.513.565,"755.591.409,43",11.871.773,"336.774.694,78",4.951.000,"63.353.100,00",9.636.032,"513.814.590,00"
01/17/2025,37.409.381,"1.154.701.388,52",19.604.101,"549.948.538,70",17.138.000,"411.512.100,00",14.634.404,"236.325.496,58"
01/16/2025,39.879.645,"1.201.195.172,50",53.835.127,"1.638.878.446,17",682.000,"21.095.600,00",6.534.057,"102.199.119,05"
01/15/2025,28.899.233,"864.974.784,91",33.059.510,"1.014.999.727,03",17.602.070,"276.837.685,73",9.462.145,"187.249.773,61"
01/14/2025,33.400.660,"974.914.176,45",36.959.640,"973.299.278,96",5.051.010,"127.803.052,00",6.376.745,"137.711.589,52"
01/13/2025,42.999.863,"1.357.724.497,87",30.699.766,"859.886.052,33",28.945.800,"953.371.024,00",7.884.259,"301.003.823,43"
01/10/2025,34.105.892,"967.099.828,78",41.113.881,"1.060.854.073,55",9.264.800,"405.783.560,00",2.450.158,"145.531.838,69"
01/09/2025,19.878.539,"597.183.659,80",24.322.727,"610.389.063,55",100.000,"4.031.400,00",3.655.268,"63.591.887,13"
01/08/2025,32.448.108,"971.826.113,40",32.006.350,"813.215.480,32",42.020.000,"1.024.167.000,00",9.550.098,"221.632.148,70"
01/07/2025,36.838.198,"1.135.935.253,72",44.905.382,"1.242.942.049,65",11.247.500,"376.333.000,00",6.761.337,"185.219.137,23"
01/06/2025,37.888.738,"1.276.525.820,66",35.804.318,"923.090.827,51",16.945.738,"473.559.027,54",5.626.551,"234.171.189,55"
01/03/2025,25.744.578,"781.531.086,10",28.181.192,"907.791.461,32",7.694.000,"218.175.480,00",27.762.276,"911.831.627,16"
01/02/2025,19.435.094,"636.509.986,00",36.814.896,"1.209.435.665,24",18.689.946,"485.704.957,80",26.956.348,"1.064.771.914,70"
12/31/2024,45.871.199,"1.356.980.689,63",31.488.996,"986.662.552,20",15.075.200,"401.965.225,00",39.527.189,"764.146.249,60"
12/30/2024,33.145.764,"1.026.256.778,60",38.494.587,"1.162.693.076,08",19.535.236,"368.738.645,76",16.233.140,"293.751.871,09"
12/27/2024,40.916.179,"1.282.456.107,94",34.227.688,"976.749.451,50",37.313.500,"1.470.806.332,50",22.902.255,"638.245.398,98"
12/26/2024,38.930.988,"1.112.780.317,47",26.934.514,"803.216.467,86",34.467.733,"842.351.268,50",19.269.052,"882.853.138,56"
12/25/2024,62.410.709,"1.858.208.698,57",31.437.358,"860.738.421,72",27.778.744,"842.417.339,20",23.494.745,"468.081.508,95"
12/24/2024,21.212.173,"678.167.033,17",21.294.066,"541.231.371,48",25.235.636,"858.686.369,20",34.333.731,"1.517.771.093,00"
12/23/2024,22.285.426,"679.842.211,08",16.699.925,"479.326.166,10",10.780.700,"235.822.035,00",14.783.639,"365.350.411,45"
12/20/2024,15.683.095,"478.523.101,82",22.234.193,"669.867.006,62",25.914.000,"835.670.400,00",63.688.752,"1.509.633.451,85"
12/19/2024,30.052.416,"950.859.298,30",65.821.339,"2.004.090.646,68",11.119.097,"256.452.687,40",21.500.568,"495.981.644,88"
12/18/2024,19.297.765,"676.943.424,25",25.624.772,"787.965.560,82",50.273.888,"1.060.617.791,40",46.523.045,"916.516.100,69"
