Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),Tổng KL ròng (CP)
02/24/2025,"10.121.060,56","-5.797.101,00","-159.914.810,22","-2.720.631,00","-293.353.163,95"
02/21/2025,"-254.307.610,46","-4.158.842,00","-35.547.194,30","5.756.736,00","-78.086.292,76"
02/20/2025,"161.356.967,46","-6.567.195,00","-164.900.846,13","-3.639.099,00","-316.036.380,73"
02/19/2025,"160.227.471,53","-1.975.014,00","64.597.185,95","20.026.040,00","359.718.553,01"
02/18/2025,"177.323.220,77","-1.311.532,00","-3.393.127,24","1.644.807,00","-160.960.957,19"
02/17/2025,"426.621.102,10","-1.027.201,00","-46.568.856,90","-682.512,00","-555.555.856,19"
02/14/2025,"443.908.672,84","-2.874.941,00","-128.160.819,07","4.877.309,00","-262.438.123,60"
02/13/2025,"194.207.230,08","-2.671.303,00","-30.835.215,80","-8.187.130,00","-315.060.194,40"
02/12/2025,"56.614.629,08","208.782,00","-2.328.323,20","-14.583.800,00","-432.011.575,89"
02/11/2025,"-59.270.921,54","4.365.506,00","188.460.964,17","-11.928.440,00","-566.480.530,00"
02/10/2025,"-298.793.187,40","-9.296.171,00","-147.356.667,01","-16.631.172,00","-525.087.093,40"
02/07/2025,"236.254.081,16","-17.078.766,00","-234.690.901,10","-9.086.791,00","-371.333.037,37"
02/06/2025,"60.179.372,95","-348.421,00","-66.727.561,78","-7.488.719,00","-277.863.697,84"
02/05/2025,"480.925.004,14","6.438.863,00","105.957.811,07","-12.674.840,00","-375.305.781,95"
02/04/2025,"-599.060.189,34","5.830.198,00","161.761.230,95","-8.086.338,00","-631.789.028,78"
02/03/2025,"-447.682.504,40","-6.215.207,00","-134.943.161,45","-31.162.174,00","-1.427.862.445,48"
01/24/2025,"723.808.363,48","4.568.952,00","63.899.244,10","25.040.774,00","589.941.983,66"
01/23/2025,"954.353.552,93","-3.036.076,00","-74.893.493,95","10.704.044,00","152.845.695,52"
01/22/2025,"450.115.873,98","-623.090,00","3.805.343,35","-9.442.194,00","-218.376.441,72"
01/21/2025,"350.933.371,87","-8.060.173,00","-116.267.008,50","-1.713.687,00","-140.216.187,61"
01/20/2025,"418.816.714,65","-4.685.032,00","-450.461.490,00","-4.098.100,00","-217.453.940,84"
01/17/2025,"604.752.849,82","2.503.596,00","175.186.603,42","-7.066.289,00","-455.059.682,62"
01/16/2025,"-437.683.273,67","-5.852.057,00","-81.103.519,05","-32.988.117,00","-1.053.351.716,52"
01/15/2025,"-150.024.942,12","8.139.925,00","89.587.912,12","-4.649.826,00","-415.948.882,25"
01/14/2025,"1.614.897,49","-1.325.735,00","-9.908.537,52","-19.218.157,00","-640.713.078,79"
01/13/2025,"497.838.445,54","21.061.541,00","652.367.200,57","7.205.121,00","-20.678.612,18"
01/10/2025,"-93.754.244,77","6.814.642,00","260.251.721,31","-8.948.021,00","-241.120.811,93"
01/09/2025,"-13.205.403,75","-3.555.268,00","-59.560.487,13","-14.553.344,00","-452.700.443,14"
01/08/2025,"158.610.633,08","32.469.902,00","802.534.851,30","-1.956.599,00","-430.463.221,10"
01/07/2025,"-107.006.795,93","4.486.163,00","191.113.862,77","-6.339.278,00","-83.785.158,28"
01/06/2025,"353.434.993,15","11.319.187,00","239.387.837,99","2.937.374,00","119.542.109,70"
01/03/2025,"-126.260.375,22","-20.068.276,00","-693.656.147,16","-25.168.941,00","-722.761.831,37"
01/02/2025,"-572.925.679,24","-8.266.402,00","-579.066.956,90","-1.578.480,00","-114.534.663,56"
12/31/2024,"370.318.137,43","-24.451.989,00","-362.181.024,60","-13.923.508,00","-320.796.818,35"
12/30/2024,"-136.436.297,48","3.302.096,00","74.986.774,67","7.593.725,00","331.064.152,90"
12/27/2024,"305.706.656,44","14.411.245,00","832.560.933,52","20.506.538,00","597.228.059,15"
12/26/2024,"309.563.849,61","15.198.681,00","-40.501.870,06","-2.696.067,00","-368.302.023,11"
12/25/2024,"997.470.276,85","4.283.999,00","374.335.830,25","12.942.762,00","94.482.120,73"
12/24/2024,"136.935.661,69","-9.098.095,00","-659.084.723,80","3.170.784,00","76.659.839,35"
12/23/2024,"200.516.044,98","-4.002.939,00","-129.528.376,45","-1.573.641,00","-183.936.201,20"
12/20/2024,"-191.343.904,80","-37.774.752,00","-673.963.051,85","-12.151.631,00","-48.748.820,61"
12/19/2024,"-1.053.231.348,38","-10.381.471,00","-239.528.957,48","-23.364.256,00","-434.257.077,35"
12/18/2024,"-111.022.136,57","3.750.843,00","144.101.690,71","-2.872.672,00","-45.971.199,95"
12/17/2024,"-3.294.153,76","-9.954.330,00","-128.924.425,26","-13.230.989,00","-672.429.773,25"
12/16/2024,"-9.754.982,89","-13.166.800,00","-274.841.024,95","-5.570.452,00","-148.661.094,60"
12/13/2024,"-151.542.701,61","-11.045.174,00","-133.399.159,22","-6.677.799,00","-111.540.653,75"
12/12/2024,"-14.876.364,61","-2.957.818,00","-79.514.039,90","-5.986.482,00","-275.548.305,11"
12/11/2024,"-617.721.336,30","-1.036.245,00","-43.133.156,45","-8.222.003,00","-222.426.684,40"
12/10/2024,"-161.754.276,95","-5.174.679,00","-1.235.485,05","-11.257.272,00","-201.589.379,51"
12/09/2024,"19.516.366,13","-3.529.127,00","-10.624.750,85","1.593.394,00","-298.151.752,78"
12/06/2024,"437.509.893,67","-13.840.412,00","-149.712.655,25","19.136.717,00","377.140.490,40"
12/05/2024,"1.221.302.749,31","-2.579.381,00","-35.404.522,49","31.033.122,00","708.882.217,70"
12/04/2024,"-181.328.819,53","-6.233.115,00","-83.488.587,40","-17.715.783,00","-654.392.521,05"
12/03/2024,"-188.004.702,76","-6.958.480,00","-81.804.975,55","-6.991.380,00","-235.872.619,25"
12/02/2024,"-29.702.803,72","-928.111,00","-108.431.834,65","-6.678.195,00","-312.980.258,80"
11/29/2024,"-6.305.950,45","-11.523.532,00","-194.225.704,33","-5.612.772,00","219.646.776,90"
11/28/2024,"489.811.399,84","2.128.893,00","18.747.046,05","-5.560.968,00","15.642.047,05"
