ngành,cá_nhân_khớp_ròng,tổ_chức_trong_nước_khớp_ròng,tự_doanh_khớp_ròng,nước_ngoài_khớp_ròng,cá_nhân_thỏa_thuận_ròng,tổ_chức_trong_nước_thỏa_thuận_ròng,tự_doanh_thỏa_thuận_ròng,nước_ngoài_thỏa_thuận_ròng,cá_nhân_tổng_gt_ròng,tổ_chức_trong_nước_tổng_gt_ròng,tự_doanh_tổng_gt_ròng,nước_ngoài_tổng_gt_ròng,ngày
Bất động sản L2,410825028000.0,-360785130000.0,0.0,-50039898000.0,-148246000000.0,148246000000.0,0.0,0.0,262579028000.0,-212539130000.0,0.0,-50039898000.0,2022-05-12
Ngân hàng L2,395501180000.0,-430563445000.0,0.0,35062265000.0,34794640000.0,-34297490900.0,0.0,-497149100.0,430295820000.0,-464860935900.0,0.0,34565115900.0,2022-05-12
Tài nguyên Cơ bản L2,150128505000.0,-104323111000.0,0.0,-45805394000.0,0.0,0.0,0.0,0.0,150128505000.0,-104323111000.0,0.0,-45805394000.0,2022-05-12
Xây dựng và Vật liệu L2,25876271000.0,6935085000.0,0.0,-32811356000.0,16888800000.0,-16888800000.0,0.0,0.0,42765071000.0,-9953715000.0,0.0,-32811356000.0,2022-05-12
Dầu khí L2,20494565000.0,-830405000.0,0.0,-19664160000.0,0.0,0.0,0.0,0.0,20494565000.0,-830405000.0,0.0,-19664160000.0,2022-05-12
Du lịch và Giải trí L2,19551083000.0,-25876858000.0,0.0,6325775000.0,3384500000.0,-3384500000.0,0.0,0.0,22935583000.0,-29261358000.0,0.0,6325775000.0,2022-05-12
Thực phẩm và đồ uống L2,19447303000.0,-42547840000.0,0.0,23100537000.0,-5067000000.0,5067000000.0,0.0,0.0,14380303000.0,-37480840000.0,0.0,23100537000.0,2022-05-12
Dịch vụ tài chính L2,6896495000.0,16264969000.0,0.0,-23161464000.0,0.0,0.0,0.0,0.0,6896495000.0,16264969000.0,0.0,-23161464000.0,2022-05-12
Ô tô và phụ tùng L2,5227859000.0,641288000.0,0.0,-5869147000.0,0.0,0.0,0.0,0.0,5227859000.0,641288000.0,0.0,-5869147000.0,2022-05-12
Y tế L2,1518317000.0,-3091407000.0,0.0,1573090000.0,0.0,0.0,0.0,0.0,1518317000.0,-3091407000.0,0.0,1573090000.0,2022-05-12
Truyền thông L2,499695000.0,1890000.0,0.0,-501585000.0,0.0,0.0,0.0,0.0,499695000.0,1890000.0,0.0,-501585000.0,2022-05-12
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-12
Hàng & Dịch vụ Công nghiệp L2,-1267630000.0,39191077000.0,0.0,-37923447000.0,0.0,0.0,0.0,0.0,-1267630000.0,39191077000.0,0.0,-37923447000.0,2022-05-12
"Điện, nước & xăng dầu khí đốt L2",-1618967000.0,-6576638000.0,0.0,8195605000.0,2800000000.0,-2800000000.0,0.0,0.0,1181033000.0,-9376638000.0,0.0,8195605000.0,2022-05-12
Công nghệ Thông tin L2,-3782260000.0,4226265000.0,0.0,-444005000.0,0.0,0.0,0.0,0.0,-3782260000.0,4226265000.0,0.0,-444005000.0,2022-05-12
Hàng cá nhân & Gia dụng L2,-21939035000.0,28232576000.0,0.0,-6293541000.0,0.0,0.0,0.0,0.0,-21939035000.0,28232576000.0,0.0,-6293541000.0,2022-05-12
